companyName,company_starRating,company_offeredRole,company_roleLocation,headquarters,size,type,revenue,listing_jobDesc,requested_url
companyName,company_starRating,company_offeredRole,company_roleLocation,headquarters,size,type,revenue,listing_jobDesc,requested_url
Caisse d'Epargne Hauts de France,3.9,DATA ANALYST (H/F),Lille,"Paris, France",10000+ Employees,Company - Public,Unknown / Non-Applicable,"Une rémunération compétitive et équitable, assortie de primes et de bonus en fonction de vos performances individuelles et collectives. Des opportunités de formation et de développement professionnel pour faire évoluer votre carrière dans l'entreprise. Un socle social complet : 13ième mois, mutuelle, tickets restaurants, prime de transport, 35 jours de congés payés et des jours de RTT. Un environnement de travail agréable et collaboratif, où les idées et les contributions de chacun sont valorisées et respectées. Vous disposerez au minimum d’une journée de télétravail par semaine.",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&cs=1_cf1140a7&cb=1686308045158&jobListingId=1008666514384&cpc=47CFDC01B3F81FAC&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-e327f445badf479d--6NYlbfkN0ChHmdAlyKiUiKV5XlkhHIVgyStuKeKs3wohdK2yav_cnie5dp9iYbfrJAO-eQo_9fGcVR7q2Tgc859c4BF_-7SwrneY0Dc5BI10MltUoYwDIzIMjcXPNshhJvr5Bg-jygXIviWb3wLTqAU83lPTe2DEGhvLQjD-QgvBH1OS_wO0NPL3i4b8A0pQ3hZ68hkLjz71fB0aJXGfmg3Pa9F2WokF6vM2EZauNpvpOzfsvczLHDj036qS0pIcMkQJ-n_B6EBTKN6Ijleh_n_a8Yn4XFgf0Rnu4rLyelGFz_PQSRF-hBAZZlxCH9qDYQKN2KcLqO8Fn37yszy0fWMJ9fbvPsBpz7KljwGqY7vs_3WnQmUe3a2bHsiTubMsorDw_4DDKJ9wTLFR7_ee6eIxRwzLQ0uW_z4ed_TUAIuFK4Czz27tU3Wv7XnqcL0g_pVJ9lgjd2wlcpA6nd8hvJ6YvyEeeuibK1zi2CcrFNohum2y9eJDIM4X-9V7qqXXIrtLwMVxIKI6gVs3gp4k-HwYpoD5FM-i8EIRgVWUcaaZreT9g8HRrjLnisLB7NNHq1cQH-IM-rgrouM4ttjcOEVdUS9liWw9en5V0T7Nj0%3D
Natixis,4.1,Business Analyst Junior - Third Parties - IT CIB,Charenton-le-Pont,"Paris, France",10000+ Employees,Company - Private,$5 to $10 billion (USD),"
Recueillir et traduire les expression des besoins métiers ; 
Analyser et rédiger les spécifications fonctionnelles des évolutions ;
 Préparer les cas et jeux de tests, réaliser les recettes fonctionnelles et les organiser avec les métiers ;
 Participer à la phase de conduite du changement auprès des métiers ; 
Prendre en charge les demandes d'assistance. La rédaction de spécifications ; Les méthodes et outils agiles ; Les méthodologies de tests.
 Intéressé par l'investigation (recherches détaillées et recoupement d'informations) ; Un bon communicant ;
 Un fervent adepte de l'agile ; Orienté résultats.
",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&cs=1_9f9cbdd2&cb=1686308045158&jobListingId=1008642344844&cpc=D2F1DE17EE1F43B9&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-1951a2aa8f87ad01--6NYlbfkN0CVny3EPYrW6edMnS9sSDpe6O9yxU5bnoCkyXOgZyNLCvOyPtgYVRyW8DFIJ2T6lSDa8wOh0GFx6dwBXsAJ26uIpAoXcYLZPFlsx8_ht5gCyIcewTWtXwjkQP5q3p3THw56ODXouPou-LwPmsiish9z2f8zCqvufrcPjgUGRJJoJAVad3R63WqzOUimugujGSXSYs4gRUxK2Q_eBnu0QQciziLD6ICOAEO9i1Gh_ZfjTcdmp0akwSqNyZHQRQWp_QkPOeS6hZhGWokif0UyXXW8tjZwvDA0g1jUVQsJ5LHZDXmGw6Aly3K0AIBZfP1vEA6hq3hBwJYcE1Z8uh5FrxIMBWvVh3IYF-ANc-BmPXQQ6LR4BiHuUpeMya57WLkfG5jO7wZPW15cG03BJVJowWg2Q6VKuZv6GT4AXd2nvvW8VcDQFLs9yJK-EZuSHzsdyDAlDBzV0_a9DJTNqHHNcToKhF_xnVUWASODEiCBqVw3QIq3YgxAbHwPZyP8DFlH8kZJOUI-xArv7FxQgnDSA6mA4TwBGIE3CiTSHZlGltVgjPAW9sBYUjnLtZL4JteUnLPuAOkPjXozIqrEvQyy92e_Jq_sBxGxXu90C0SQzuM4jLt10uT561YOZKZBqkSmk2nvI9PPYfR4PN_ui5S4rdAt
Sopra Steria,3.8,Business Analyst - Banque & Finance - Brest,Brest,"Annecy, France",10000+ Employees,Company - Public,$1 to $5 billion (USD),"Définition des besoins utilisateurs ou « User Stories » Suivi de l'avancement du projet en lien avec la MOE et le client Rédaction des cahiers des charges, des spécifications générales Rédaction et validation des cahiers de tests fonctionnels Optimisation de l'ergonomie d'un produit / solution au regard des usages et de l'expérience utilisateur Animation des ateliers de cadrage fonctionnel, conseil et orientation client Accompagnement de nos équipes dans la montée en valeur du métier client. Un accord télétravail pour télétravailler jusqu'à 2 jours par semaine selon vos missions Un package avantages intéressant : une mutuelle, un CSE, des titres restaurants, un accord d'intéressement, des primes vacances et cooptation Un accompagnement individualisé avec un mentor Des opportunités de carrières multiples : plus de 30 familles de métiers, autant de passerelles à imaginer ensemble Plusieurs centaines de formations accessibles en toute autonomie depuis l'app mobile avec Sopra Steria Academy La possibilité de s'engager auprès de notre fondation ou de notre partenaire « Vendredi » L'opportunité de rejoindre la communauté BA du vertical (capitalisation, formations, conférences, veille, et bien plus encore).",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6ba0cd00&cb=1686308045158&jobListingId=1008688060419&cpc=DE56C24FF6DEC286&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-80b9ed883317b4a5--6NYlbfkN0D9xrLoAM8osgDm547torDhdSLyyZjm4c4M1v28Gizw8lHB6aJr6viSrJBoMrHGs2CceG3Wll2HqaRqSVBElA62v9N2tF22N25HUCaSOdoR-utrSyTN1EGRy_BjJadIpX8CANDPfXTahWYO-djS07_DkjhEt0FLrPKI2jyxzvnoU8USzzX0T28iIJBiKPPKS3fovqMAB7gIG99h6uVvVVWk8qfSN2ngW89OFoPj36j0gQDiycXNXaZ4-mn943llMe6g2JAUf1X5lg6GB4RI5iRGcrh8Gr576SUhfcyrH4oSTjBjsysa2mI3AqH1GaxrnkQNH83JTVmNbcoejo5lhBNW3bbmKX-lv6Fd4NbSEiEUs6TNZTdgeCy_OSmimWnk2uIdPUiP2ztZMC2vOPt1J29aNM56ggW8fTj7F7OEXlSLR3UwUGHpaIwI5zu6FfcEa0UnhVLcS8BCpePmSVr5D37z-SbOZg2-4LhEPVLApMOxOGYXxqCzZcKiuBHfu_aJmY1BoBHL0Xqk44JY_huJ1DDsPc5Kpp6_84pRS2CE6zjWRaRdN5PW25qrrrVeQK99EiZwyyCejXplahNE9EpkbfShoUqWrcjvi8Xlmy3VG9Q0vMToaUyUR-_nvDN3nlocjSDaBafzf25kZ6Tp_oJ8eiE1ndavK5wrLPPGRRj3oZKPDJWcEYtV587zpaR2NkksjDt4yPEMxrDg5-f9yg1rI7OoCwtLENlRrn4%3D
HURRYMAN,4.8,Consultant Senior / Manager : Data Analyst (H/F),Paris,"Paris, France",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,"Œuvrant parmi les acteurs les plus prestigieux du monde du Conseil en France et à l’international depuis plus de quinze ans, la société est devenue lun des leaders dans l’accompagnement à la transformation technologique des grandes entreprises.


Afin daccompagner et soutenir sa croissance, lentreprise souhaite développer ses équipes internes et recruter un Consultant Senior / Manager : Data Analyst (H/F)


Le Poste :


Intégré(e) à une équipe composée de consultants expérimentés (vingtaine de personnes), et spécialisée sur les sujets liés à la Data Analytics, vous interviendrez de façon opérationnelle sur des projets de transformation de grande envergure.
Rôle et missions :

· Participer aux entretiens clients pour comprendre les enjeux métiers liés aux flux de données ;
· Collecter et traiter les données en vue de l’analyse ;
· Automatiser et industrialiser les retraitements effectués sur les données ;
· Identifier les leviers permettant d’améliorer l’excellence opérationnelle (impacts et gains) ;
· Assurer des reportings ;
· Faire preuve d’initiatives dans le développement des relations avec les partenaires
. Mission de benchmarking doutils.


Informations contractuelles
Lieu : Paris


Salaire : 50-75 k€


Démarrage : dès que possible


Politique de télétravail : 2 jours / semaine

Ingénieur de formation, vous avez minimum 5 à 6 ans d’expériences sur un poste similaire et une expérience significative au sein de sociétés de conseil. Vous appréciez travailler dans des contextes variées, et être force de proposition. Bon(ne) communicant(e), vous avez un niveau d'anglais conversationnel.Show more Report",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_af234186&cb=1686308045157&jobListingId=1008655835555&cpc=DE56C24FF6DEC286&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-d9384adaf5b70402--6NYlbfkN0AeG-Kxhanbnd7cO26mdiOlz8f3fXxLlzO0wcSgIiDYx32vE5tBJKc1yNmrVXm87AIsqY8bzM-7GHt-VKY5LePt07daUZjoG_FC3wS2PrGKpR-LI-QAJJA3eihKSH_XY78xEKrG19vbQHBXg9gBXrELborP90tlF5i6iMtckfusVKm7B-7dsSBGBytjSmDI-9E0kcRVj1GRt2Rb2e0MFP_pUS6jFNVU-HqVTZHiKmn2cOZIqeuRjMbtoU46KCVjA_NsyVeYwGAGLo0LvkpEG9cZ5wtLfzL9vPE3INxJZTW4s1Dx5T1e45JwciipPuBsoubnfTwjEdB9FuLZCbcf5onkwaokbujQ6ZdGJT62DCrEVjAHh6rQ8C_rVGP4Zy5t-EN0b64cPmKeO3u2VrSnZc6Dd4zQh8CfguRgNWhWQvW8hkblgk7k11LltgR2SNFs18BGAsIGmBoxHPiKtKfZ5shlVV2XBmaLeQEe7EWjxkaK89GVNAziLEf7loMffv-GAr2ig84MTRu4VDsuLXyK1C98mwO4YI7MoII1dQSZvek08Ex5_pJHb6VJQ_n1TW0tT0aystO8K2kcjEyOHTyi03UfnF2GuzZtujlDC5g83xOL0pI-v5Ly3x8KK0a8xntF5iKc4fe6CQWkH5UWOQRZgW8UrYg_6PQ6nufO9gxp8cEgcA%3D%3D
Editions ENI,4.0,Data Analyst H/F,Saint-Herblain,"Saint-Herblain, France",201 to 500 Employees,Unknown,$25 to $100 million (USD),"Echanges et coordination avec les équipes décisionnelles, et les responsables des systèmes sources Conception des indicateurs (KPI) et des restitutions sous un format exploitable en concertation avec les utilisateurs clefs. Utilisation des différents outils à disposition pour explorer, organiser et exploiter les données. De formation supérieure Bac +5, écoles d'ingénieur(e)s, vous disposez au moins une expérience significative dans la construction de tableau de bord. Les technologies privilégiées sur ce poste sont en priorité Power Bi, SSRS et SQL. Les connaissances Telerik sont un plus. Vous disposez également de bonnes capacités de modélisation, de formation et de synthèse. Vous faites preuve d'un excellent relationnel et êtes proactif. Vous savez conseiller les équipes métiers et orienter leur besoin. Formation linguistique offerte Prise en charge du transport quotidien RTT Titre-restaurant Travail à domicile Du lundi au vendredi Travail en journée Bac +5 (Master / MBA) (Optionnel)",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9c800bf7&cb=1686308045159&jobListingId=1008679037383&cpc=C4A69CCDBB3B9599&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-3b4bfb37fb6eeb5e--6NYlbfkN0D54yG-0CbHzdVdrNhcoQspSCKxPYFmtSTqQNTqx4l_-8xI7g_fymyHkaQ3NzsHGX96O2Y_Pt1vIWLmiB9idKXVK6zwS39dgIqKrXCf3NBNXhdTHfRBE89uoMBoacpyLdcY18aYfli_hLBxId7sL6Jo4QrjaMNeAptIN1BwSX_uJlt1wW4zAWfcz5oedYnJPTeAjqskca8HjNp424r0r1K0gzJK8zQ_tIst-4ynD3N3Rh3rpluxo7q4oJOiaZR6FLn1YWNdI2q7W89kpK8qrftP9cqMcJtCGdcDC3rWsV0I7zJSLiB1oPV9abK0FMBmCX3RErVyJCEyn7ayRuNCQv9TTw9UhqeQo9_P7HFCThhywBLiNAzQ6TH58iZnq4SxV186B1Qb446SnomHnzhtzBxnQW2YSJkbpWcPQsALXDL4HBL6pvGdhlpZd1gdyrayViqm70cpCX5NpIdVOY00N_VekAO0ikF7S_0D1bCG8QNmx1H8YNc6x3zImlLNuxHaqx_uW0yJ3vykpyF95Cb0FhtY8paBrhdsKVkzv_PaugkcoXAsThedY401
Cooperl Arc Atlantique,4.0,Data Analyst H/F,Houdan,"Lamballe, France",5001 to 10000 Employees,Self-employed,Unknown / Non-Applicable,"Recueillir, extraire et fournir les informations pertinentes remontées dans les outils aux différents services. Contrôler la qualité ainsi que la fiabilité des données. Assurer l'optimisation et l'automatisation des reportings décisionnels en place avec la création de nouveaux Dashboard. Réaliser des rapports et tableaux de bord sur la base des besoins exprimés par les différents services. Participer à la migration et à la refonte de l'infrastructure BI, et proposer et mettre à disposition de nouveaux indicateurs pour les métiers (industriel, direction, support, commerciaux) Assurer une veille technologique",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&cs=1_5df5c07e&cb=1686308045157&jobListingId=1008692795474&cpc=4B86475FAF393599&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-a27e52479d30e686--6NYlbfkN0DVPiJiwBmUw6Vd2GIj5dVKdNuH2EuiaDlCBqj8S_o4RAcP1cBlCHo5Th3yYlpKzo79cGEhYH7DiRqaFnDtONf3oEFrIJ6U54kPws9_ci7rOGT7dOv83ONrCacsYt_rprb42o8T7taLyokjzjoMCNQcJ-xa5Kvu5z61nyMf8B5kodxO3JrpcA8KI8pwRwTWoAY6GXJ6oNaCZPXPHs-rD_yToR8b30oFrlzgtruhgmOetnKUWj-oJ9-ZOH0kgKmCQy-XfWqn2vI-9Tz93pRJGcDbS1baefKJQLNK2Q0JAmRIjqm2xKnK4t4gGHGHh8yBaz9S3V5GV1r_JCJvR9qtYCHTf3cNZgzmpuTqLVRGxOvb4K0GSBCr58pQY44ty8M6YusYBoekQ-XGbRNtUD6EABdixWEqH8RKKeOuN1ZXo-CV0fbeV6iVjEIXk_iPJBd-VPBGYmJzMMRlggpbjKLhTdfLicuXMjMogP8BbMyM5CF8OsYKMIEnZEkDzSae0lBsTlDpsJJy4GIDmLj8J2pMisCHPkQF1XL7YusYnSf5bDr3ZVASWjOT7mqNv_sNl9kM0MdaQShx-je0RtipqR5qU812UGG5prSkTOJa-DCtr8OO_kCP9fLIB-gO
Studi,3.6,Business Analyst Senior (H/F),Montpellier,"Pérols, France",501 to 1000 Employees,Company - Private,Unknown / Non-Applicable,"
Vous concevez et optimisez les outils datas, les tableaux de bords, etc et recueillez les différentes données issues des outils de l’entreprise. 
Vous suivez régulièrement les différents indicateurs business, assurez leur vérifications et leur mise en forme et exploitez, synthétisez et analysez les informations obtenues. 
Vous menez des études statistiques, ad hoc structurantes, innovantes et actionnables (personas, scoring). 
Vous assurez un reporting régulier, en cohérence avec les priorités et alertez de façon pertinente en cas de besoin votre hiérarchie. 
Vous supportez le business dans la compréhension et l’utilisation de l’ensemble des reporting et proposez des recommandations. 
Vous assurez la communication des informations pertinentes à votre hiérarchie et aux équipes ainsi que leur compréhension en vulgarisant les informations communiquées, les enjeux et les risques, etc. 
Vous communiquez régulièrement avec les départements concernés (Service Delivery operation, Learning Experience) toute information pertinente et recueillez leurs besoins afin de faire évoluer la gestion des informations. 
Vous améliorez les outils data de l’entreprise, assurez une veille technologique et proposez l’utilisation pertinente de ces nouveautés. 
Vous mettez en place et suivez les KPIS de l’activité et proposez des plans d’action associés. 
Vous proposez, participez et animez pro-activement les ateliers de la communauté Data Studi (bonnes pratiques Data …). 
Vous justifiez d'une expérience de 4 ans dans des fonctions similaires en analyse de données, nettoyage, exploitation et KPI. Vous disposez d'un Bac +5. Vous avez un excellent niveau en statistiques et data mining. Vous maitrisez parfaitement les outils de data visualisation, Excel, Google Big Query et les langages Python et SQL. La connaissance de Jira est un plus. Vous avez un bon niveau d'anglais écrit et oral. 
La volonté de remplir une mission qui a du sens : moderniser et démocratiser l’éducation Un esprit ouvert aux idées nouvelles et aux paris, même un peu “fous” Un environnement bienveillant, challengeant et agile Une équipe de passionné(e)s, toujours prête à améliorer l’expérience de nos apprenants et à l’écoute de ses collaborateurs Un attachement à la marque, dont chaque employé est ambassadeur",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e54abfb3&cb=1686308045156&jobListingId=1008682803820&cpc=25F7D4ABB6558D0F&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-cade77e1a490ca71--6NYlbfkN0AgzbA491oz9T_5Km7bo_7LckQi5_jXLgHxA1MgD18lP2Sm7lBBBEPry2PUrJ7xBxwwIRxahF0hx0gM0bAHpOvGK3i1FIl7CTyYRhcOgz38MxhHy57V0DQKNBuu-oWroGzYturzWS9sKwN3ay9yib6MqgOL6aTxkAaTKnIZz1Efco7XmIBxH1ZXL5rJ3FoDv3fRfndIDXl3fQ9Vh_NsrRQtOj0IWAWK2Uv4THl6FK5aoYWhMcHAtR5dc8b9BzLMnbzfPAmOVApA5QzS3QTK447EeQEC1Tue-ZrJNTZDwSPs92RYLkOviqyRDM85CBFr40G9bethHU9hhFFpTbSmG5yVO0bYnbSPI5lThjPdxmoGojZdJg9PA7CMsr2wnH2oHtGGbX8mpfNDVbDtE6scU6HLcr3NE_LA2dB4asrMP-kjw0Laj1r7tdm35sjh7d6yt4UbXpMyhfyr_LCVhFZyg6x0iv2ri10smzEaDnucZ1h6IlOza4nTubYQ3jlslVlmZWwwu4zTaNJCm6qn8Q0_5nMgima9gvrtkZ7FjC-2V7GxFYy8O3u00QWnHOM7jSflkNV7TIJyBDnCVpNuFgbdRjxGNpLAwqpbHZ6ikhollP5N2VTR189sEtIA
Sopra Steria,3.8,Business Analyst - NORMANDIE NORD EST - Rouen - F/H,Rouen,"Annecy, France",10000+ Employees,Company - Public,$1 to $5 billion (USD),"Vous organisez et animez des ateliers métiers (recueil de besoins fonctionnels et aide à la décision) Vous analysez et comprenez les besoins exprimés par les utilisateurs et les équipes métiers Vous rédigez la documentation fonctionnelle : user stories, spécifications fonctionnelles, cahier des charges Vous organisez la stratégie de tests Vous proposez des plans d'amélioration continue basés sur la compréhension des besoins métiers du client : cartographie des flux métiers, études comparatives de solution Vous travaillez en étroite collaboration avec les développeurs, tout en challengeant les solutions proposées pour créer le maximum de valeur Vous gérez un back log projet Vous participez et animez les instances de suivi de projet (Daily meeting, comité de suivi...) ainsi que des sessions de Co-design. Progresser et développer vos compétences Construire un avenir positif en mettant le digital au service de l'humain Évoluer dans une entreprise qui encourage l'audace, la curiosité et l'envie d'entreprendre",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0cd1ea8c&cb=1686308045157&jobListingId=1008689709345&cpc=1D891ED3EFC3904E&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-9f2a44ef2cd2da06--6NYlbfkN0D9xrLoAM8osgDm547torDhdSLyyZjm4c4M1v28Gizw8lHB6aJr6viSrJBoMrHGs2Bx-D9doEUB755WYJlmB8GyBCGp1BLD4wm0rGS1Cr9UdFRtkB9D2R8em6yLLJfWicrmJttFtaFFpOuToq8HV3D23-1FlJHLVfpG7AWDGawwF1Lmhj_PH-2rIj7AnPKAgc8dLECKoomAhVbPYSBbx27XQcp2HnQe9AyQuZAosZakKIeRAVrtVQI-OIaLP2mcAA4snEBfOIH2gz1oGwsteiMPve0AC1gGr12ckHg5Yxl_6qm8EcnBZc5a6D30P23bvRak2psAO3fZ7uBJiDMAHF2Z0cLrXwSr3ThBj_Fx9EItpUDl2qZeWKbNlOJeNggmhs-jh6FCWdeDNk1seDA7s0E6SJAgA0q23HgPVsBPxBpGbgqt-dZ-j3b2sjBNT76Ta8vvk2CxX43YsK7kUvyKqiDUXBQS0Hb_4SvcRny-DwaosRsfrlATucHwZj8hlfvETh0ERgCNxYYt3jFssWVK8xtfpKDsAxjqVbVVyfrDQ-iO4eBUukdrIR_-U7Iz5RaVPJ2QGPLG34s0Qb4P5H-yphngp1txB_nN8YOkfeLStNSn2L6kSkWwG6n6o92EoXEIQYlTlUgGjSYUhsy1uUYKPxTV05qhzQUY1pmnuP26hiZlJ_8KlsE2fHWh7lrPPFWu3GZNJkumcKRgCWjhCkIbXPqk
Valeo,3.6,Analyste de données pièces de rechange automobile,Saint-Denis,"Paris, France",10000+ Employees,Company - Private,$10+ billion (USD),"la qualité et la disponibilité des données sur nos produits dans notre référentiel interne Produits & Véhicules
 la précision et la fiabilité des données auprès des clients dans les délais planifiés
 Vous contribuerez au déploiement de notre service interne de données basées
 Vous construisez les applications véhicules pour nos produits et répondez aux besoins spécifique des équipes Marketing Produits
 Vous pilotez l’accès aux données via les sources des constructeurs
 Vous pourrez être amené à être contributeur dans un projet lié à l’organisation et aux procédures de gestion des données
 Vous assurez la mise à jour de notre base en termes de volumes et de qualité : caractéristiques techniques, liens entre les véhicules et les références, équivalences entre nos références et celles des constructeurs et des autres équipementiers
 Vous assurez la mise à jour permanente de nos données en pratiquant une veille concurrentielle sur les références des pièces de rechange des constructeurs et celles du marché indépendant IAM et en exploitant les données de nos fournisseurs
 Vous êtes l’interface et le support des clients internes et externes pour améliorer les données Produits et répondre aux réclamations avancées sur les données d’origine
 Vous contribuez à l’amélioration de la couverture du parc automobile roulant par l’identification et la mise à jour des cross-lists et des liens véhicules
 Vous contribuez à la bonne identification de la pièce pour un véhicule précis dans nos catalogues en ligne en Europe par les clients rapidement et facilement.
 Titulaire d’un BAC+2/3, vous justifiez d'une expérience de 2 ans minimum dans la gestion de base de données.
 Une expérience dans un secteur industriel
 Une excellente maîtrise d’Excel est indispensable
 La connaissance d'Access est un atout
 Vous aimez le travail collaboratif
 one of the largest global innovative companies, with more than 20,000 engineers working in Research & Development
 a multi-cultural environment that values diversity and international collaboration
 more than 100,000 colleagues in 31 countries... which make a lot of opportunity for career growth
 a business highly committed to limiting the environmental impact if its activities and ranked by Corporate Knights as the number one company in the automotive sector in terms of sustainable development
",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1110586&s=58&guid=000001889fcac06a8acfb4351ad9e594&src=GD_JOB_AD&t=SR&vt=w&cs=1_af3c42f6&cb=1686308045158&jobListingId=1008662048755&cpc=D2F1DE17EE1F43B9&jrtk=3-0-1h2fslg48kf1p801-1h2fslg4og2qa800-c323e32e337aaedc--6NYlbfkN0BO0nmJv-68ECtW3CH4mC22-GCFIlsBpENGmJlut4UOiAGoN524dbCkaQBsuldjVPvaaFfaX0xl_gwkgSCmwJQJN8oUrKzfHMv0wKO_M9s_LEjELy_HNdeSzCQlMTrnHHppmKYkd-6d-trd3sY4hVjI4QLjZ7J80dDQ3jixIUTf1rgPk-5Zv_PNLrTRodnPAicSyxA1k2AL9bNrJG0C_Arn0CgCwBV02GXgRb5aOQ8Qf0xflOocr3vLgwryoxn46GI-TQGFQ2CtzGtyb0i_XlxYlzXrBr1hTGZdN1n9ln702USgYcshfrCa14rcrouMl5OTdRGyECZmWqgyT6JhC3TcNlJK7c8XZea_n3ukulAA9NmCIazleaH_N-fTqUO6KljXtGYPfYwtdQ6YJMcTT_2xhLzT5f32qMsH_EUWN14_TX-Dq4D7sC36y92flfRmz1fqsIDkDZEq-qyVfr4UpzSxeF4exJSAp5JMkEaycIHLxWXFZBhncD1nnpdAvnVe0MVfBDRvpYXnM3gylMqX4UlVvu6U5RbxOK8rmxkv7gG8GiNlr0KEOIbAe7YyJTRDXOxng8yHau3rcieE8ARre0nyLv56WfevpK4PzyqUaDHA0cKEz5IzszgNIvYt_0R-kfLC0k_VEVOEbMgBRb_0AwHnyxWZdAXuhLFDIrJ6uwNH_FWC7oaMJtakZrqAneTCt_ucwkVkE1cPcg%3D%3D
