companyName,company_starRating,company_offeredRole,company_roleLocation,headquarters,size,type,revenue,listing_jobDesc,requested_url
companyName,company_starRating,company_offeredRole,company_roleLocation,headquarters,size,type,revenue,listing_jobDesc,requested_url
Valeo,3.6,Analyste de données pièces de rechange automobile,Saint-Denis,"Paris, France",10000+ Employees,Company - Private,$10+ billion (USD),"la qualité et la disponibilité des données sur nos produits dans notre référentiel interne Produits & Véhicules
 la précision et la fiabilité des données auprès des clients dans les délais planifiés
 Vous contribuerez au déploiement de notre service interne de données basées
 Vous construisez les applications véhicules pour nos produits et répondez aux besoins spécifique des équipes Marketing Produits
 Vous pilotez l’accès aux données via les sources des constructeurs
 Vous pourrez être amené à être contributeur dans un projet lié à l’organisation et aux procédures de gestion des données
 Vous assurez la mise à jour de notre base en termes de volumes et de qualité : caractéristiques techniques, liens entre les véhicules et les références, équivalences entre nos références et celles des constructeurs et des autres équipementiers
 Vous assurez la mise à jour permanente de nos données en pratiquant une veille concurrentielle sur les références des pièces de rechange des constructeurs et celles du marché indépendant IAM et en exploitant les données de nos fournisseurs
 Vous êtes l’interface et le support des clients internes et externes pour améliorer les données Produits et répondre aux réclamations avancées sur les données d’origine
 Vous contribuez à l’amélioration de la couverture du parc automobile roulant par l’identification et la mise à jour des cross-lists et des liens véhicules
 Vous contribuez à la bonne identification de la pièce pour un véhicule précis dans nos catalogues en ligne en Europe par les clients rapidement et facilement.
 Titulaire d’un BAC+2/3, vous justifiez d'une expérience de 2 ans minimum dans la gestion de base de données.
 Une expérience dans un secteur industriel
 Une excellente maîtrise d’Excel est indispensable
 La connaissance d'Access est un atout
 Vous aimez le travail collaboratif
 one of the largest global innovative companies, with more than 20,000 engineers working in Research & Development
 a multi-cultural environment that values diversity and international collaboration
 more than 100,000 colleagues in 31 countries... which make a lot of opportunity for career growth
 a business highly committed to limiting the environmental impact if its activities and ranked by Corporate Knights as the number one company in the automotive sector in terms of sustainable development
",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1110586&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&cs=1_a5f70f53&cb=1686211787904&jobListingId=1008662048755&cpc=F4EED0218A761C36&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-c323e32e337aaedc--6NYlbfkN0BO0nmJv-68ECtW3CH4mC22-GCFIlsBpENGmJlut4UOiAGoN524dbCkaQBsuldjVPvaaFfaX0xl_gwkgSCmwJQJN8oUrKzfHMv0wKO_M9s_LEjELy_HNdeSzCQlMTrnHHppmKYkd-6d-trd3sY4hVjI4QLjZ7J80dDQ3jixIUTf1rgPk-5Zv_PN69Ybuo0gKw0bP_dQWI8gEiwtPq1zOQPHqVfY7OC3Co7ciVUfvK38xpgoLLuy--RnrZL3qrBSlFH_p5bHGCbJz7FZXpyKPKu6VxbBIW9QmNqIY_TqLy-3yBShOpYr38AIx0Z-eYNByBJzX7Lc_KJNfhmCfMQdh0zQRwx3iyer18_MbfJYkqgSBFgF5UKMNV-_gU4zuJkAYUNwB1l2MSw7ccFhwg0b_xWlCd0mTp0IJ4F5EihT85VGsUIl2xIfELgddSYp_ZEp9_qsmW2jlN_UvjGknCBq2TLLEzQJEtDLNF3IxZv1Bl102qvlDTAf691-8PGrdt-1NIe02cLC40xPXjxOmDXyp2f5VVs4xvx0nLKUGv28pLaCe7nsbsLfx4RMnAcHPrhcvN75ries_c_ZzaXf-3_CxgjztDnMl6hoZkPgRSIKwEPLaJVDMZs1KP0XGruC3zqCZRNUB-jIhx1UpUO1b_srh5gSX_1m-w2HTpCDbk5afkMTHymPMNQvVjH7WsNsswIlNb6IQI3ocbdiBw%3D%3D
Kenvue,3.9,Data Analyst H/F,Issy-les-Moulineaux,"Skillman, NJ",10000+ Employees,Company - Public,Unknown / Non-Applicable," Assurer la simplification et l’amélioration continue des outils de gestion de données et de reporting  Structurer les workflows & bases de données « métier » existants  Maintenir / harmoniser / améliorer les tableaux de bord existants
 Soutenir les équipes terrains dans l’utilisation, l’adoption et l’adaptation des reports Power BI Leverager la donnée à disposition (interne, externe), établir des ponts entre les différents sets de données (exemple sell in / sell out)  Créer de nouveaux tableaux de bord cross-fonctionnels faisant fi des contraintes système
 Participer activement à l’implémentation de la reconnaissance d’image pour les commerciaux sur le terrain  Contribuer à l’amélioration de notre processus de gestion de base de données clients (maintenance, update)  Vous avez une formation BAC+5, type Ecole d’ingénieur, Informatique ou Commerce avec spécialisation data,  Vous avez une expérience minimum de 3 ans dans un poste similaire où vous avez pu accumuler des connaissances en finance d’entreprise et / ou en KPIs d’efficience commerciale,  Vous êtes familier avec les principes de modèles de dataflow (data sources, data structure, database, BI).
  Vous êtes à l’aise avec SQL (idéalement Alteryx) et êtes expert sur Power BI et MS Excel.  Vous avez la capacité à manipuler des larges sets de données provenant de systèmes différents, les connecter pour faire « parler » les chiffres  Enfin la pratique de l'anglais est indispensable pour travailler avec les équipes régionales EMEA et dans un objectif d’évolution au sein du groupe à terme.  Vous aimez le challenge et êtes orienté solutions,  Vous êtes pragmatique,  Vous êtes curieux,  Vous êtes force de proposition
  Vous avez une bonne compréhension des enjeux métier,  Vous êtes adaptable, team player,  Vous avez une excellente capacité d’analyse et de synthèse  Rémunération et avantages sociaux compétitifs :  Mutuelle, prévoyance, accord de télétravail, PEE, PERCO, RTT, participation…  Opportunités de formation et de développement",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&cs=1_35bc019f&cb=1686211787901&jobListingId=1008666617329&cpc=A0637F14311B9419&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-b28d57ebe938024f--6NYlbfkN0CiQ58Z0bCqcmUUIQNvBQUlW24XHwG2TtskoIesAiWzrblPiAK_560ls2W0QVJGHTuh-O7s-X9mcsmlTiJ2VRift7CRus479nfx5vhKWLu9KJoXQSg-k7sFhXlfsFrdIaHPpeTzPiINWQES2iYlsLa0c88ylmv5hHT7JiTDGqxaKVpPgNdc3gZ2ccRVhQ1SwTKqxTf9jmRzyf5WzqbZ7YUGSnv3ifRPPypFHrrujVzYsYrFasT2PbcjRWJJFy9TjWZ1A0kBteBM2xjA7y_bVHJdTYX5u7Zqh0rbt8Cn0B-Qk98B8cfgvJsvtswPktEHNJQijnUuTDDJFABx97cMvb6hQAe0ZlzvABXo3jaHjnU3dfLDB9RpF4zNmkJqeVIZ2VuwbCMP8icMO6-f4EHyPEqwIvt8Bp9q6V67C7PRuDRFnVUD8cEvktRI-bUA1esQbjZcxpmdRC0ufdaR8aVtQSVsF5YMONZ4Qzg9XYi4LZEq1Zj_YNP5SmsxiaKwN9bjTrT9DAsjcR61MVd2CTIdM2_IdjEMU69VMRgTd5X5_K9Ysa5vLAkxYhvVa3KUmQ_kwipZAHop-xT2a2CgZLzTTC1HPtPa-NjCMv4e0YEEEnvlXT2gFX_JStSqIVwh7xn_tfO8zRgxw2EbiFJt5WI6pUcmy-k49D1BF6hS-BnYr0T88Y8iockqILjm
BRIAND,4.2,Stage Data Scientist - Calcul paramétrique (H/F),Les Herbiers,"Les Herbiers, France",1001 to 5000 Employees,Company - Private,Unknown / Non-Applicable,"La création de fonctionnalités et modèles paramétriques sur la base solutions innovantes (parametric design, generative design, machine learning, etc.) Création, manipulation, gestion de base de données composants et modèles Gestion des interopérabilités entre outils métiers (calcul, dessin, base d’article, etc) Définition, spécification, création d’interfaces utilisateurs Veille digitale, technique, scientifiques et prototypage Les aspects de gestion de projets (planning, rapport, suivi, présentations, relationnel, etc.)",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_069c9fe5&cb=1686211787903&jobListingId=1008679471773&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-8eb57c4459a973c3-
Matmut,3.2,Chargé d'études en Datamining / Pilotage d'activité F/H,Rouen,"Rouen, France",1001 to 5000 Employees,Company - Private,Unknown / Non-Applicable,"Rattaché(e) à la Direction Assurance IARD, vous intégrerez le Département Technique Assurance IARD, qui encadre, organise et suit l'activité des collaborateurs traitant les dossiers Contrats complexes (Back office et téléphone) Maintenir et réaliser des outils de pilotage transverses et intuitifs. Exploiter les données issues de sources multiples (Genesys, Salesforce, Excel, bases de données) Contrôler l'exactitude des données. Mettre en place des actions correctives Définir et mettre en place des indicateurs de performance Mettre en place des analyses statistiques sur l'activité. Proposer des pistes d'amélioration. Contribuer à l'élaboration des prévisions d'activité Administrer l'outil de planification des collaborateurs (Genesys Workforce Management) Optimiser la planification des collaborateurs en fonction des prévisions d'activité Piloter en temps réel l'activité de la Hot line technique IARD S'assurer du bon fonctionnement des outils en collaboration avec la direction informatique Piloter les projets d'évolution des outils, leurs impacts et les besoins utilisateurs",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&cs=1_fcf7439b&cb=1686211787901&jobListingId=1008681268677&cpc=632C08DE5A4EA969&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-8a6b8e3c4c930d9b--6NYlbfkN0B2GOhFbXw4cmFtkzLV8RZYa_iGtngns-65K4efjXAWntPyuJ-cnujGVp1D9QlwEZpOwxSU_RAMTUA-ArOQMDwbS2DFxs6oVmBmnjYAr-UzOSWm1Rc4r0_wjk3ccD9s4gYyyreX12WUpxkH-10vY7LY86URihEyhiGzGZb73VC-G0voiVmyYr0EnikWFFSRGDKuIOxxMZ3chHRsbvKptvKHyZ-fJeWmnJYJwMTGNLCpV2_02HPh06k5yXCTaKR3oqlA9qVk4TqTLZy_70mq9kkj0MM6JITTzAtwc86aD2zh840T-v3OcfOlE1GX9e7FZDRU7soiXH2sdKX2PAGwr1W9oy6_-upNLqJ4iwgEiLwd5Vruu7rfi7-1Bmc_Q45xLUnvw7Tr-lS56RRbb5PDRCGYEAtBCOd7JsqAOwA3kj4sA5ZVOP6_Kme4yAqGLxU-SdhzExLX6YDLP3kX5eWviw9edjXJNEv6x7nKIkmCvDIKlYmcYtaXCgvfHd-FxNfDE7Z5nO731motbHBUmXcj_klg85BlAlirLnkLOfNUcdeme1-ZFcKb2ZbkV8wZKQ-Xviv_D6DI6JXjkmv38c-FSYaBlfZLG-gfGI-BELi20GxA7aq0a5BoOKL5KA3HQSMlkOY%3D
Banque Populaire Auvergne Rhône Alpes,3.9,DATA SCIENTIST (H/F) Corenc (38),Corenc,"Lyon, France",1001 to 5000 Employees,Company - Private,Unknown / Non-Applicable,"Description de l'entreprise
Vous souhaitez travailler au sein d'une banque performante, engagée et ancrée sur son territoire ? La Banque Populaire Auvergne Rhône Alpes, banque régionale et coopérative, est un acteur majeur sur son territoire. Appartenant au 2ème Groupe bancaire français, elle a su construire son développement en mettant au cœur de la relation client ses valeurs de proximité, de réactivité et d’innovation. Nous recrutons pour notre service Décisionnel et Tableaux de Bords, un DATA SCIENTIST , en CDI.
Poste et missions
Rattaché(e) au Responsable du service Data management et IA, vos missions seront : Vos missions principales consistent à : • Accompagner la mise en place d’une cellule data science & IA • Transformer en problématiques data des problématiques métiers (commercial, marketing, middle/back office, RH, risques, finances, …) • Mettre en place, réaliser, accompagner, déployer et industrialiser les études et projets d’analyse de données, de data science et d’Intelligence Artificielle. A ce titre, vous prendrez en charge de : • Analyser les besoins métier et les traduire en cas d’usage de data analyse ou data science • Définir et animer la gestion de ces projets • Réaliser ou faire réaliser par la cellule datascience & IA (composée de prestataires, alternants et/ou stagiaires et des data analysts issus d’autres équipes) les analyses ou modèles nécessaires aux projets ; puis en tester les résultats pour décision de déploiement • Piloter le déploiement, l’industrialisation et le maintien de la performance des modèles • Suivre et valoriser les résultats et la valeur apportée • Assurer la mise en place, l’ingénierie, l’administration et la veille sur les méthodes et moyens techniques nécessaires • Contribuer à l’acculturation des directions métiers sur la data science. Autonome, communicant et rigoureux, vous serez force de proposition sur les changements et nouveautés. Vous serez en interaction permanente avec les métiers bancaires. Dans une démarche d’amélioration continue, vous participerez à des projets transverses au sein du département ou de la banque. Vos actions et conseils s’inscrivent dans le cadre règlementaire et normatif du Groupe BPCE, tant d’un point de vue sécurité des systèmes d’information que conformité, RGPD et éthique. Le poste implique également une compréhension et une traduction fonctionnelle des activités et processus bancaires, une connaissance générale des produits et services bancaires serait donc un plus.
Profil et compétences requises
Niveau d’études et spécialisation souhaités : • BAC + 5 minimum en informatique • Expérience nécessaire en data science d’au moins 3 ans
Informations complémentaires sur le poste
Motivé(e) par les challenges et la réussite collective, votre dynamisme et votre implication vous permettront d’évoluer au sein de la Banque Populaire Auvergne Rhône Alpes. Si vous souhaitez donner une nouvelle orientation à votre parcours professionnel et révéler votre talent, faites nous part de votre candidature.Show more Report",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&cs=1_53338212&cb=1686211787901&jobListingId=1008681904153&cpc=E773D000C9BC26FA&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-dbc88d6ee895a7c2--6NYlbfkN0C1eNVNxY1OvmmiUwkSgC6aOcjCCF40yQOokeRD8W5MufKh8M9phogXkh9ab3THGOKKSekg2qbHwDr_WInBE5fxgn7ADEDcPVKmEQrJskjqpMdJBT4vJ7THWfIcobaZ6LBe61RmWbRWLJZ9Qx0iFCsXZoRr8Yzsb4mytqpgqMvegQrrNJzHy6M8flaiN14DQEnwFuxhXlfh3OttG7qD45IGjoHm3f2depw-fcP3S6tvjRlRKjBAJ2c2UfT38HAKWH9kVYof2x1eQQ3Bj4Gt97j0U1r_d6xATVHl2dT38qevRn9UWBIdSi0fAdv13-IzoNkfsko7I6ZdOyXSBlxhO7QjZP3zi8yEKygIr9RKeOkw_rabvkN2bA5-QbiG_NGqlxopnmxu9K1asHu3kYEb0P18JoUd4cNMN2iWm6oDZi4H5jR5vegeRi3tLpE9NmR4b6AIGghGZvwqODEusoVlfTDlPT1smSELfUqibQDJzBqfBBT1xlozxkgvzmNLeDcDHyCjKaXQGprydjMyePTLy3b9HHg6vzRqm8Fg6YGQWUsq93F29XxC5NwuodyNfuFCQ1jTsj-4GAM6DROY6ShN8-0LksQ-hYjaHKfwaMg_n-_QFIyETwBBFEls
IQVIA,4.0,Data Scientist,Courbevoie,"Durham, NC",10000+ Employees,Company - Public,$10+ billion (USD),"A la croisée de deux univers, la santé et les nouvelles technologies, IQVIA est l’expert des données de santé depuis plus de 60 ans et dans 140 pays. IQVIA s’appuie sur ses bases de données uniques, sur son expertise et sur ses outils d’analyse pour apporter des services et des solutions de conseil aux acteurs du système de santé. Grace à l’utilisation de méthodes innovantes telles que l’intelligence artificielle, IQVIA contribue à l’amélioration de la prise en charge des patients et au développement de la médecine de demain.Nous participons à la mise en place d'un système de santé plus moderne, plus efficace et plus adapté aux besoins de chacun.Le département Data & AI d’IQVIA est constitué d’experts qui accompagnent nos clients et partenaires de la collecte de la data, à sa livraison en passant par sa transformation et son analyse pour proposer des offres à la pointe de l’innovation en data science.Il n’a pour cela de cesse de se renouveler afin de développer de nouveaux outils et d’y intégrer les dernières innovations, en matière d’intelligence artificielle notamment.Il recherche pour intégrer ses équipes, un :Data Scientist (H/F)Basé dans no locaux de La Défense, Tour D2 à Courbevoie (92)Possibilité de télétravail (env. 2j par semaine)Rattaché à l’équipe R&D du département Data & AI, vous êtes en charge de l’utilisation optimale et de la valorisation des données : analyses et modélisations statistiques, innovation et développement de nouvelles offres, automatisation des process de production et de traitement des données.L'équipe R&D est composée de data scientists et de software engineers (au total une dizaine de personnes), est en lien fort avec une équipe de product management et épaulée par des profils senior (data science, expertise métier sur les données de santé).Au sein des équipes projets, le/la data scientist sera encadré(e) par des managers expérimentés et/ou des data scientists seniors.Les sujets sur lesquels l'équipe R&D intervient sont variés :· création et maintenance de pipelines de production de données (modèles d'extrapolation de données de délivrance de médicaments, statistiques de vaccination Covid en open data)· conception et mise en production d’algorithmes permettant l'identification de populations sous-diagnostiquées sur des pathologies rares à partir de données de consommation de médicaments· conception et opération d'outils de support aux autres équipes (sous la forme de dashboards par exemple)· veille technologique (utilisation de données synthétiques dans les algorithmes de santé)De formation Bac + 5 (école d'ingénieurs ou M2) orientée data science, ·vous disposez de bases solides en Python pour la programmation et l'analyse de données (stack PyData, SQL) appliquées lors de 3 ans d'expérience sur une fonction de data scientist. Vous maîtrisez des fondamentaux du machine learning, de rigueur scientifique et d'une capacité à lire et comprendre des articles de recherche.La maîtrise de l'anglais (niveau B2 minimum) lu, parlé et écrit est indispensable pour évoluer dans notre environnement multiculturel et international, ainsi que la documentation et la présentation des modèles développés.Excellentes capacités d'expression écrite (français et anglais) pour la documentation et la présentation des modèles développésVotre intérêt pour le secteur de la santé sera l'un de vos plus précieux atouts!IQVIA drives healthcare forward, join us now !Type d'emploi : CDISalaire : 45 000,00€ à 55 000,00€ par anLieu du poste : En présentielShow more Report",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2405e35d&cb=1686211787902&jobListingId=1008685093718&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-73b0b1f7fbe45c22-
NA,NA,Apprenti.e Data Scientist,Paris,NA,NA,NA,NA,Du lundi au vendredi Travail en journée,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dc3af00f&cb=1686211787904&jobListingId=1008673646737&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-b1fbb7febb0fe64c-
TotalEnergies,3.9,Data Analyst RH débutant.e (H/F),Courbevoie,"Paris, France",10000+ Employees,Company - Public,$25 to $100 million (USD),"accompagner et développer nos études et analyses envisager des automatisations et simplifications lancer des développements et en suivre les recettes améliorer nos reportings et les faire évoluer pour un gain de temps. Rapidité de traitement des demandes ponctuelles qui interviennent au fil de l’eau (listes de diffusion, études, situation de nos effectifs) faire monter l'équipe en compétences sur Power BI constituer en partenariat avec le tuteur/manager un cahier des charges qui permettra de simplifier certaines études en transformant des bases Excel vers dashboards Power BI (gain de temps en proposant des livrables en « self-service » que nous avions l’habitude de transmettre via Excel) Être force de proposition pour monitorer au mieux les données et rendre les visuels attractifs nous suivre dans ce que nous produisons quotidiennement ou périodiquement maîtriser les sujets dans la pratique et devenir un potentiel back up ou relais selon les périodes et les demandes à terme, être impliqué.e dans des groupes de travail",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&cs=1_70031e19&cb=1686211787902&jobListingId=1008676054227&cpc=D2F1DE17EE1F43B9&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-b23ce114ffb85858--6NYlbfkN0BYf14EJxPuJtVJffztcJdOxSBUM1rlhwaBfCjmyTThADJRdfI8TiQ6EQw5OnAFieBFCBvzhvU0FyQn6L00Npcm48WcmG_SWsuNax1O1KopX1425AFl-MLBrZ6ainyB3-PJ0QVAmCuWBDiIhsWvZesMh8cNXteKZ522DRP053AJk5Kpnv4xBAjCftziLTvbY6Lw20-zdovtIMmyENauHm1VXwGXahzEl0Xy1BxIby4Y8fICQDbgwFC5P765mq1WwzPgrpUCOsnIzIJ3XAESuUH8eHlUku3Nv5rcIMVY7FXtoiD8oaitv4OWvntSz9L0GEGFCnyQKxyD2hwFzcCyKhxYuWOSgttUh0nqFGV4mGYv_MwaNY8ELwSN6OZ-iZycrsdm-h0GhWs5GQtKlSaKcE8iEWrqhb3R6mRTWSdjED3LOCwlH0I4Uw9PfkJ27AKc2TQYt8d0aAe7acahf4WREB--xd5h39pj3VqgZDpoXCfq5kJG7evtBeRYaR-sMolzmSI5VFwCMO95tFCVh21ol1AbpisLEraWxy1C4PicoGVm9eCaOHBSo0Nk3klBztkR5wlW-PZ_TWuRVDSvS8BQA9ZkZCEPoES636mOf1VWUiO7YjPsh4gMwTBdXwfPKSokf4JwKSPggU0w1nDU1W8aqu97CjLzxWXCYAjRbtSdbg4kMyA9UU8gS4gbRBl8l9uj378TrcUlwGFuDRHMLsXPFLlcSylPyKc1AsDYRB1dHeRsg7Is0_TBficH9um-IrV5253jedAdIy4jvdCiJeSaSYVG
TotalEnergies,3.9,Data Analyst débutant(e) - Spotfire pour SISMAGE-CIG,Pau,"Paris, France",10000+ Employees,Company - Public,$25 to $100 million (USD),"
La mise en place d'un lien direct entre l'application logicielle interne de TotalEnergies (que ce soit dans le Cloud ou on premise, à définir) avec le logiciel de Data Mining Spotfire (API Sea et JAVA) ; 
La création et la mise à disposition des utilisateurs de dashboard d'analyse de données « prêt à l'emploi » basique et plus sophistiqués (non disponible dans le logiciel actuellement) ; 
La mise en place de rapport d'analyse et de contrôle qualité automatique toujours en utilisant le lien direct entre les 2 plateformes via des algorithmes de machine learning (Détection automatique d'anomalies, proposition alternative de remplissage, travail sur les incertitudes).",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001889a0dfb7989aa7d89a62e4c17&src=GD_JOB_AD&t=SR&vt=w&cs=1_3719b415&cb=1686211787901&jobListingId=1008664443660&cpc=18C9CE28155C17C5&jrtk=3-0-1h2d0rusqkcns801-1h2d0rut7g4cq800-af833e54e994b32a--6NYlbfkN0BYf14EJxPuJtVJffztcJdOxSBUM1rlhwaBfCjmyTThADJRdfI8TiQ6EQw5OnAFieCNlTEFvh4uc0TA4vp0xhwpyclv_Rm4sQKzZ1L0QkyEAL3ABkBGloLgFth0cAJvUh6TbAvrqDlAdpdBiB7d7NHiEeARCVXqvzfXTBYXn3eDqdce4YMYkgYsUp8yMeaBQN2UncLRJHCoDjjzlPQHZABBxsgZl7iYLUm4WUN99XcMB0TQFUc7m26A2mQuG4c5GM9RhHCfE0PPrxplyB-GRfBPMlS8l7Ti9jv9oZx9oSlDlz_wDXmalo2UrBHdsnSBA7aCEBlFdmb0DTEpDewGNpPyImPmOx3PW_TZMTYJ_Kt-tqfrdlTXn95_8A4_ljBjQAP_xxsq55BglIaawBMCjJ0qPdypi6jbC2XAJWOlF3m7t0ms3dMkf6__M4-zqgauL_pWxaVR7uNQGAVADUSiBbgkITMYYLkYH0xIb2VUqAz-mMT6IHAk7tbTMB_IOhWgmlNsMexot_raI60ShQ8YTjE-y8dg0X97CvMF7IyDPDr6jVHIVvtoHqU1GtSEtr6UJgXfddVWPcKk1WDvC7NRPFhaaR5VSD2POACcY0DcpkFYOs9DLEo_t9cv5oIFKjRNONB_qXAqnhEtR70zfGcFwoJXZidgGKOjWkIdgeRQMhufbRW12duouZToViaxpS-CICf_XMrS5VrfXj8P-GS32w1j_hmrHorK5VQeS9Lls_vgkmQFLVnhP7jtqIzyVNT45fcmjSruCJ-PcdsX3_Xdpdbf
